,Defense,Integrity,Performance
0,Channel Shuffling,0.0,0.7791000008583069
1,Pruning_0,1.0,0.7791000008583069
2,Pruning_0.05,1.0,0.7791999578475952
3,Pruning_0.1,1.0,0.7791999578475952
4,Pruning_0.25,1.0,0.7797999978065491
5,Pruning_0.5,1.0,0.7734999656677246
6,Pruning_0.75,1.0,0.7530999779701233
7,Pruning_0.9,1.0,0.4935999810695648
8,Pruning_0.95,0.43,0.202799990773201
9,Retraining_1,1.0,0.737500011920929
10,Retraining_5,1.0,0.7296000123023987
11,Retraining_25,1.0,0.7825000286102295
12,Retraining_50,0.52,0.7554000020027161
13,None,1.0,0.7813000082969666
