,Defense,Integrity,Performance
0,Channel Shuffling,0.001,0.7768999934196472
1,Pruning_0,1.0,0.7768999934196472
2,Pruning_0.05,1.0,0.7773000001907349
3,Pruning_0.1,1.0,0.7759999632835388
4,Pruning_0.25,1.0,0.7763999700546265
5,Pruning_0.5,1.0,0.7741000056266785
6,Pruning_0.75,1.0,0.7511000037193298
7,Pruning_0.9,1.0,0.4748999774456024
8,Pruning_0.95,0.667,0.2078000009059906
9,Retraining_1,1.0,0.7197999954223633
10,Retraining_5,1.0,0.7135000228881836
11,Retraining_25,1.0,0.7774999737739563
12,Retraining_50,0.453,0.7609999775886536
13,None,1.0,0.7813000082969666
