,Defense,Integrity,Performance
0,Channel Shuffling,0.002,0.7807999849319458
1,Pruning_0,1.0,0.7807999849319458
2,Pruning_0.05,1.0,0.7809000015258789
3,Pruning_0.1,1.0,0.7803999781608582
4,Pruning_0.25,1.0,0.7807999849319458
5,Pruning_0.5,1.0,0.7786999940872192
6,Pruning_0.75,1.0,0.7430999875068665
7,Pruning_0.9,0.275,0.10619999468326569
8,Pruning_0.95,0.111,0.09669999778270721
9,Retraining_1,1.0,0.758400022983551
10,Retraining_5,1.0,0.7415000200271606
11,Retraining_25,1.0,0.7818999886512756
12,Retraining_50,1.0,0.7660999894142151
13,None,1.0,0.7843999862670898
