,Defense,Integrity,Performance
0,Channel Shuffling,0.0038,0.7644000053405762
1,Pruning_0,1.0,0.7644000053405762
2,Pruning_0.05,1.0,0.7642999887466431
3,Pruning_0.1,1.0,0.763700008392334
4,Pruning_0.25,1.0,0.7653999924659729
5,Pruning_0.5,1.0,0.7682999968528748
6,Pruning_0.75,1.0,0.7450999617576599
7,Pruning_0.9,1.0,0.43539997935295105
8,Pruning_0.95,0.603,0.19200000166893005
9,Retraining_1,1.0,0.7475000023841858
10,Retraining_5,1.0,0.7409999966621399
11,Retraining_25,0.973,0.7767000198364258
12,Retraining_50,0.4464,0.7591999769210815
13,None,1.0,0.7813000082969666
