,Defense,Integrity,Performance
0,Channel Shuffling,0.0,0.7805999517440796
1,Pruning_0,1.0,0.7805999517440796
2,Pruning_0.05,1.0,0.7804999947547913
3,Pruning_0.1,1.0,0.7809000015258789
4,Pruning_0.25,1.0,0.7817999720573425
5,Pruning_0.5,1.0,0.7731999754905701
6,Pruning_0.75,1.0,0.7513999938964844
7,Pruning_0.9,1.0,0.4875999987125397
8,Pruning_0.95,0.6,0.19769999384880066
9,Retraining_1,1.0,0.6523000001907349
10,Retraining_5,1.0,0.7268999814987183
11,Retraining_25,1.0,0.7804999947547913
12,Retraining_50,0.6,0.7634999752044678
13,None,1.0,0.7813000082969666
