,Defense,Integrity,Performance
0,Channel Shuffling,0.0,0.784500002861023
1,Pruning_0,1.0,0.784500002861023
2,Pruning_0.05,1.0,0.7847999930381775
3,Pruning_0.1,1.0,0.7840999960899353
4,Pruning_0.25,1.0,0.7831999659538269
5,Pruning_0.5,1.0,0.7813999652862549
6,Pruning_0.75,1.0,0.7393999695777893
7,Pruning_0.9,0.22,0.10849999636411667
8,Pruning_0.95,0.04,0.09669999778270721
9,Retraining_1,1.0,0.7473999857902527
10,Retraining_5,1.0,0.7638000249862671
11,Retraining_25,1.0,0.7788000106811523
12,Retraining_50,1.0,0.7628999948501587
13,None,1.0,0.7843999862670898
