,Defense,Integrity,Performance
0,Channel Shuffling,0.0028625954198473282,0.7683999538421631
1,Pruning_0,1.0,0.7683999538421631
2,Pruning_0.05,1.0,0.7685999870300293
3,Pruning_0.1,1.0,0.7685999870300293
4,Pruning_0.25,1.0,0.7670999765396118
5,Pruning_0.5,1.0,0.7541999816894531
6,Pruning_0.75,1.0,0.7468000054359436
7,Pruning_0.9,1.0,0.4194999933242798
8,Pruning_0.95,1.0,0.18779999017715454
9,Retraining_1,1.0,0.7378000020980835
10,Retraining_5,1.0,0.7178000211715698
11,Retraining_25,1.0,0.7768999934196472
12,Retraining_50,1.0,0.7592999935150146
13,None,1.0,0.7813000082969666
