,Defense,Integrity,Performance
0,Channel Shuffling,0.0,0.7820000052452087
1,Pruning_0,1.0,0.7820000052452087
2,Pruning_0.05,1.0,0.7821999788284302
3,Pruning_0.1,1.0,0.7820999622344971
4,Pruning_0.25,1.0,0.7820999622344971
5,Pruning_0.5,1.0,0.7805999517440796
6,Pruning_0.75,1.0,0.7454999685287476
7,Pruning_0.9,0.0,0.10869999974966049
8,Pruning_0.95,0.0,0.09669999778270721
9,Retraining_1,1.0,0.7595000267028809
10,Retraining_5,1.0,0.7610999941825867
11,Retraining_25,1.0,0.7770000100135803
12,Retraining_50,1.0,0.7523000240325928
13,None,1.0,0.7843999862670898
