,Defense,Integrity,Performance
0,Channel Shuffling,0.0,0.9724999666213989
1,Pruning_0,1.0,0.9724999666213989
2,Pruning_0.05,1.0,0.972000002861023
3,Pruning_0.1,1.0,0.9732999801635742
4,Pruning_0.25,1.0,0.973800003528595
5,Pruning_0.5,1.0,0.9320999979972839
6,Pruning_0.75,1.0,0.2368999868631363
7,Pruning_0.9,1.0,0.15160000324249268
8,Pruning_0.95,1.0,0.09989999979734421
9,Retraining_1,1.0,0.9990000128746033
10,Retraining_5,1.0,0.9990000128746033
11,Retraining_25,1.0,0.9994999766349792
12,Retraining_50,1.0,0.9998999834060669
